Project,Relation Type,SATD A,SATD B
Hadoop,No Relation,"[2011-11-22 11:24:34][Amar Kamat][code-comment][3f09c787810bee568ae5f28306d3fc7ca715ebe2]
TODO Note that the sorter will be instantiated 2 times as follows
       1. During the sort/spill in the map phase
       2. During the merge in the sort phase
 We need the handle to the matcher thread only in (2).
 This logic can be relaxed to run only in (2).
","[2011-09-14 13:08:49][Amar Kamat][issue:summary][MAPREDUCE-3008:12523049]
CPU emulation in Gridmix fails to meet the expected target if the map has no data to sort/spill/merge. There are 2 major reasons for this:
1. The map task end immediately ends soon after the map task. The map progress is 67% while the map phase ends. 
2. Currently, the sort (comparator) doesnt emulate CPU. If the map is short lived, the CPU emulation thread (spawned from the map task in cleanup) doesn't get a chance to emulate."
Lucene Solr,No Relation,"[2019-11-27 16:28:19][Alan Woodward][commit][bed694ec8811c67b8ba4b4c8943e60eda281850a]
LUCENE-9062: QueryVisitor.consumeTermsMatching (#1037)

This commit adds a consumeTermsMatching() method to QueryVisitor, allowing
queries that match against a class of terms to report this back to the visitor. It also
changes highlighting code to use this new method, replacing the current implementation
via instanceof checks.
","[2019-11-25 23:47:29][dsmiley][pull:comment][1037:350480740]
I really like this.  
Obviously this method and public classes etc. will need javadoc but you'll get to that."
Hive,No Relation,"[2013-03-12 17:45:10][Ashutosh Chauhan][code-comment][d27fdcbccd347c2f25b417f8b4b2509630c69df2]
 = ""07A9615F837F7D0A952B595DD3020972"";
 = {0x07,0xA9,0x61,0x5F,0x83,0x7F,0x7D,0x0A,0x95,0x2B,0x59,0x5D,0xD3,0x02,0x09,0x72};
","[2012-11-22 06:51:01][Namit Jain][issue:comment][HIVE-2935:13502613]
I haven't looked at the patch either, and I agree with Ashutosh, that additive portions (like beeline) can be checked in.
However, would it be possible for you to break this patch, and extract the changes that you have made to the current hive code.
That presents a huge risk, and should be reviewed very carefully.

Or, you can take the other approach, which is to check in the new additive isolated components first (which will not be used), and
then have the code which touches the current hive code in a patch.

If someone is not using the hive server, what are the changes that this patch brings in ? That definitely needs to be reviewed very thoroughly."
Tvm,SATD Repayment,"[2019-01-11 10:21:24][Sergei Grechanik][code-comment][547a0913f69c29deb89b38098880d76fbc563f49]
 Note that here we assume that the identity element is indeed identity. Without this
 assumption we would have to perform a single iteration of the loop, i.e. use
 `(*r->combiner.get())(r->combiner->identity_element, r->source)[r->value_index]`
 instead of `r->source[r->value_index]`. The former may be more difficult to simplify.
","[2018-12-17 15:59:30][sgrechanik-h][pull:comment][2284:242205647]
Without this assumption we would have to unroll a single iteration of reduction, i.e. instead of `r->source[r->value_index]` we would write `(*r->combiner.get())(r->combiner->identity_element, r->source)[r->value_index]`. The latter is more difficult to simplify, for example, for `max` the smallest representable number is used as the identity, and the simplifier doesn't seem to know that it is an identity. I'll add something along the lines to the comment."
Lucene Solr,No Relation,"[2014-01-15 19:06:49][Mark Robert Miller][code-comment][a9a9eb48d3beed6b64807e87bcb9e228b08d4821]
 to test uniq fields
","[2013-09-10 23:39:31][Mark Miller][issue:comment][SOLR-1301:13763715]
Here is another patch. No major changes. I've confirmed it has ivy.xml in it.

I made some minor tweaks to fix issues 'precommit' brought up, but it's currently failing on 3 javadoc warnings due to some new hadoop test dependencies:

{noformat}
  [javadoc] /ssd/workspace3/lucene-solr-5x-mr/solr/contrib/solr-mr/lib/hadoop-mapreduce-client-jobclient-2.0.5-alpha-tests.jar(org/apache/hadoop/mapreduce/TestLocalRunner.class): warning: Cannot find annotation method 'timeout()' in type 'Test': class file for org.junit.Test not found
  [javadoc] /ssd/workspace3/lucene-solr-5x-mr/solr/contrib/solr-mr/lib/hadoop-common-2.0.5-alpha-tests.jar(org/apache/hadoop/util/TestClassUtil.class): warning: Cannot find annotation method 'timeout()' in type 'Test'
  [javadoc] /ssd/workspace3/lucene-solr-5x-mr/solr/contrib/solr-mr/lib/hadoop-common-2.0.5-alpha-tests.jar(org/apache/hadoop/io/TestSortedMapWritable.class): warning: Cannot find annotation method 'timeout()' in type 'Test'
{noformat}"
Myfaces Tobago,SATD Repayment,"[2014-03-03 09:53:52][Udo Schnurpfeil][commit][f484375ad421ab4dd7a7a148f7ddbb9324be771f]
TOBAGO-1373: Better JavaScript logging: using browser console and fill browser gaps.
","[2014-03-03 08:33:29][Udo Schnurpfeil][issue:summary][TOBAGO-1373:12698374]
Better JavaScript logging: using browser console and fill browser gaps."
Carbondata,SATD Duplication,"[2018-04-22 05:03:56][ravipesala][pull:summary][2206]
[CARBONDATA-2376] Improve Lucene datamap performance by eliminating blockid while writing and reading index.
","[2018-04-22 05:10:05][Ravindra Pesala][issue:summary][CARBONDATA-2376:13154290]
Improve Lucene datamap performance by eliminating blockid while writing and reading index."
Hbase,SATD Repayment,"[2016-10-21 15:50:39][Ramkrishna][commit][0ae211eb399e5524196d89af8eac1941c8b61b60]
HBASE-16414 Improve performance for RPC encryption with Apache Common
Crypto (Colin Ma)
","[2016-08-15 06:50:39][Colin][issue:summary][HBASE-16414:12997239]
Hbase RPC encryption is enabled by setting “hbase.rpc.protection” to ""privacy"". With the token authentication, it utilized DIGEST-MD5 mechanisms for secure authentication and data protection. For DIGEST-MD5, it uses DES, 3DES or RC4 to do encryption and it is very slow, especially for Scan. This will become the bottleneck of the RPC throughput.
Apache Commons Crypto is a cryptographic library optimized with AES-NI. It provides Java API for both cipher level and Java stream level. Developers can use it to implement high performance AES encryption/decryption with the minimum code and effort. Compare with the current implementation of org.apache.hadoop.hbase.io.crypto.aes.AES, Crypto supports both JCE Cipher and OpenSSL Cipher which is better performance than JCE Cipher. User can configure the cipher type and the default is JCE Cipher."
Drill,SATD Repayment,"[2019-02-08 11:13:22][Paul Rogers][commit][304293a46e66ba27b6b38bbc2fef63743f78d598]
DRILL-7024: Refactor ColumnWriter to simplify type-conversion shim

DRILL-7006 added a type conversion ""shim"" within the row set framework. Basically, we insert a ""shim"" column writer that takes data in one form (String, say), and does reader-specific conversions to a target format (INT, say).

The code works fine, but the shim class ends up needing to override a bunch of methods which it then passes along to the base writer. This PR refactors the code so that the conversion shim is simpler.

closes #1633
","[2019-02-02 03:47:17][Paul Rogers][issue:summary][DRILL-7024:13213450]
Refactor ColumnWriter to simplify type-conversion shim"
Kafka,SATD Duplication,"[2019-10-28 13:38:31][ijuma][pull:summary][7604]
KAFKA-9110: Improve efficiency of disk reads when TLS is enabled
","[2019-10-29 14:41:41][Ismael Juma][issue:summary][KAFKA-9110:13265059]
Improve efficiency of disk reads when TLS is enabled"
Superset,SATD Duplication,"[2019-02-25 16:14:56][Christine Chambers][code-comment][73cdb37f7e88c075e8a143860499b80cf43ba98d]
 This method transforms any BigNumber object in the given payload to its
 64-bit float representation. It is a temporary fix so charts receive
 floats instead of BigNumber instances in their props to properly render.
","[2019-02-25 16:14:56][Christine Chambers][commit][73cdb37f7e88c075e8a143860499b80cf43ba98d]
Fix rendering regression from the introduction of bignumber (#6937)

In superset-ui 0.8.0, we used bignumber.js to transform numbers in chartProps' payload from plain 64-bit floats to BigNumber instances. This causes a number of charts to render incorrectly when comparison functions in the rendering algorithms operate on BigNumber objects instead of floats. This PR uses the preTransformProps step in SuperChart to transform BigNumber instances back to floats so charts can render properly."
Hbase,No Relation,"[2016-04-27 10:41:47][stack][code-comment][6b78409eb259e263354cdd95b6970168219b1464]
 Allocate enough space to fit the next block's header too; saves a seek next time through.
 onDiskBlock is whole block + header + checksums then extra hdrSize to read next header;
 onDiskSizeWithHeader is header, body, and any checksums if present.
 TODO: Make this ByteBuffer-based. Will make it easier to go to HDFS with BBPool (offheap).
","[2016-03-22 05:33:20][Michael Stack][issue:comment][HBASE-15477:15205835]
bq. ....when we have some scans that involves scanning from contiguous blocks.

... and some blocks come from cache and some from HDFS... yeah, we keep the next-blocks length around and save it in cache so we avoid the need to seek the next block header before we can read the next block body.

Yeah, we retain this 'optimization' after all. It is not removed. It is documented on how it provides benefit (Just don't know how much)."
Hadoop,No Relation,"[2011-08-17 22:08:08][Arun Murthy][code-comment][2da287b31209011f27555734c0378ec4cff0e9a3]
 TODO: Reuse FS for user?
","[2011-03-17 17:48:43][Arun Murthy][issue:comment][MAPREDUCE-279:13008030]
Updated patch, adding missing license headers for some files."
Fluo,No Relation,"[2017-12-11 20:08:21][jkosh44][pull:comment][975:350842729]
No problem, happy to help. I think my next step is going through the code and seeing how we can use thenCompose to make the code cleaner like jwonders suggested.
","[2017-12-14 15:10:17][jwonders][issue:comment][978:351738004]
@jkosh44 I'm interested in looking at it.  I probably can't get to it until this weekend rthough.

Hopefully the `AsyncCommitResult` doesn't need to pass much intermediate information between steps.  There is probably a balance between doing everything in-line with `thenCompose(...)` and keeping some of the current structure to make the short-circuiting cleaner and allow for capturing data in the surrounding scope.  The direction I would approach this from was starting with the same structure, introducing `thenCompose(...)` and then trying to refactor to achieve the understandability @keith-turner is looking for."
Lucene Solr,No Relation,"[2012-07-24 12:58:13][Uwe Schindler][commit][6e966079b12caeee1ac8467c7f09e4db00307a5f]
LUCENE-2510: Fix generics and remove Häckidy-Hick-Hack (its not needed here, as names should be unique; we dont have the preflex codec special case)

git-svn-id: https://svn.apache.org/repos/asf/lucene/dev/branches/lucene2510@1365026 13f79535-47bb-0310-9956-ffa450edef68
","[2012-05-04 17:40:30][Ryan McKinley][issue:comment][LUCENE-2510:13268565]
The only reason solrj has that dependency is for the deprecated interface:
{code:java}
public interface ResourceLoader extends org.apache.lucene.analysis.util.ResourceLoader 
{code}

I vote we just drop ResourceLoader from the solrj client API at 4.0 rather then 5.0

alternatively, we could put the deprecated interface in solr-core, but that makes a mess of OSGI bundles (i think)"
Druid,SATD Repayment,"[2016-01-19 14:25:48][Himanshu][code-comment][fe841fd96174301dfbf2d49d293ba04764a1acf4]

           Both contains(segment) and remove(segment) can be moved inside the synchronized block. However, in that case,
           each time when addSegment() is called, it has to wait for the lock in order to make progress, which will make
           things slow. Given that in most cases segmentsToDelete.contains(segment) returns false, it will save a lot of
           cost of acquiring lock by doing the ""contains"" check outside the synchronized block.
","[2016-01-05 21:51:50][guobingkun][pull:comment][2118:48901225]
@nishantmonu51 Yeah, contains and remove can definitely be moved inside the synchronized block. However, in that case, each time when `addSegment()` is called, it has to wait for the lock in order to make progress, which will make things slow. Given that in most cases `segmentsToDelete.contains(segment)` returns false, it will save a lot of cost of acquiring lock by doing the ""contains"" check outside the synchronized block."
Cloudstack,SATD Repayment,"[2014-06-12 13:33:21][Brian Federle][code-comment][cd17061916eaf4f93f8dced4bf097035574976d3]
 Cleanup old tab content
","[2014-06-12 13:33:21][Brian Federle][commit][cd17061916eaf4f93f8dced4bf097035574976d3]
Detail view: Cleanup old tab content on change

Add event handler on tab change to remove all old tab content. This prevents
potential conflicts with referencing widget data caused by old content laying
around."
Tvm,SATD Repayment,"[2018-11-19 12:35:15][eqy][commit][7761416f00aed73e93bf919036625fc3f7941cbf]
[WIP] [RPC] clean up uploaded modules (#2121)

 [RPC] clean up uploaded modules
","[2018-11-15 23:32:55][eqy][pull:summary][2121]
 [RPC] clean up uploaded modules"
Calcite,No Relation,"[2020-08-31 17:29:13][julianhyde][pull:comment][2124:480278359]
The line was nowhere near 100 characters. It was a checkstyle bug. Simplest thing is to keep the files ascii.
","[2020-08-31 18:21:49][Julian Hyde][issue:comment][CALCITE-4173:17187930]
[~rubenql], Short answer is no. This change does not give you what you want, or make it any easier to implement."
Arrow,SATD Duplication,"[2019-06-29 00:29:17][trxcllnt][pull:summary][4746]
ARROW-5741: [JS] Make numeric vector from functions consistent with TypedArray.from
","[2019-06-26 15:07:12][Brian Hulette][issue:summary][ARROW-5741:13241731]
[JS] Make numeric vector from functions consistent with TypedArray.from"
Ignite,SATD Duplication,"[2020-11-09 15:00:37][a-polyakov][pull:summary][8441]
IGNITE-13687 Improvement of human-readable format of WAL records (StandaloneWalRecordsIterator)
","[2020-11-09 12:10:28][Alexand Polyakov][issue:summary][IGNITE-13687:13339514]
Improvement of human-readable format of WAL records (StandaloneWalRecordsIterator)"
Arrow,SATD Duplication,"[2019-11-18 13:56:23][fsaintjacques][pull:summary][5857]
ARROW-7148: [C++][Dataset] Major API cleanup
","[2019-11-12 16:25:21][Francois Saint-Jacques][issue:summary][ARROW-7148:13267771]
[C++][Dataset] API cleanup"
Kafka,SATD Duplication,"[2016-04-20 14:09:59][Jason Gustafson][code-comment][c9485b78a6e43747daf1314ae9532839fb7bc810]
 TODO: move connector configuration update handling here to be consistent with
       the semantics of the config backing store
","[2016-03-21 04:36:15][hachikuji][pull:comment][1087:56781916]
This is part of the awkwardness mentioned above. I was reluctant to rewrite StandaloneHerder with the config storage callback semantics. I'll add the TODO for now, but let me know if you'd rather fix it here."
Zookeeper,SATD Duplication,"[2018-09-16 13:02:09][maoling][pull:summary][630]
ZOOKEEPER-2284:LogFormatter and SnapshotFormatter does not handle FileNotFoundException gracefully
","[2015-09-28 18:27:56][Mohammad Arshad][issue:summary][ZOOKEEPER-2284:12901103]
LogFormatter and SnapshotFormatter does not handle FileNotFoundException gracefully"
Incubator Doris,SATD Duplication,"[2020-03-28 09:14:45][frwrdt][code-comment][4a5164ab9d1a4b0ca8e9b8a08f876f22a4a2c500]
 If this property is not set to ""true"", FileSystem instance will be returned from cache
 which is not thread-safe and may cause 'Filesystem closed' exception when it is closed by other thread.
","[2020-03-27 11:09:30][frwrdt][pull:comment][3216:399189773]
If this property is not set to ""true"", FileSystem instance will be returned from cache which is not thread-safe and may cause 'Filesystem closed' exception when it is closed by other thread."
Arrow,SATD Duplication,"[2020-04-07 19:47:55][Krisztián Szűcs][code-comment][e279a7e06e61c14868ca7d71dea795420aea6539]
 ARROW-8213: Opening a dataset with a local incorrect path gives confusing
             error message
","[2020-03-25 15:33:01][Joris Van den Bossche][issue:summary][ARROW-8213:13293851]
[Python][Dataset] Opening a dataset with a local incorrect path gives confusing error message"
Arrow,SATD Repayment,"[2020-04-22 18:04:29][Wes McKinney][commit][7d8c2d32ce9fbc487778e491cb16c7f56dce3067]
ARROW-8512: [C++] Remove unused expression/operator prototype code

None of this code was ever used.

Closes #7013 from wesm/ARROW-8512

Authored-by: Wes McKinney <wesm+git@apache.org>
Signed-off-by: Antoine Pitrou <antoine@python.org>
","[2020-04-22 14:37:54][wesm][pull:summary][7013]
None of this code was ever used."
Lucene Solr,No Relation,"[2010-06-24 09:17:52][Michael McCandless][code-comment][e92a91ed185f0f9be9b136ecade6d5a43f1ae00f]
 coarse -- this overcounts since a given doc can
 have more than one terms:
","[2010-05-11 20:11:33][Michael McCandless][issue:comment][LUCENE-2410:12866305]
Another thing we should fix -- PhraseQuery of a single term should rewrite to TermQuery."
Cassandra,No Relation,"[2014-04-04 15:37:09][belliottsmith][commit][5ebadc11e36749e6479f9aba19406db3aacdaf41]
Ensure safe resource cleanup when replacing SSTables

Patch by belliotsmith; reviewed by Tyler Hobbs for CASSANDRA-6912
","[2014-04-01 22:28:07][Benedict Elliott Smith][issue:comment][CASSANDRA-6912:13957094]
Dagnabit. Good catch - I originally had this bundled up with two other patches, and in separating them I was apparently not as careful as I had thought. The whole of tidy() was scheduled, and I thought I didn't need that after I extracted this (for reasons I won't get into). I'll reintroduce it."
Incubator Mxnet,SATD Repayment,"[2018-01-10 19:13:00][Haibin Lin][commit][a80245d4d1a3005593456f743a34e396b774edbc]
improve memory usage in sparse.dot (#8826)

* improve memory usage in sparse.dot

* rename kernel name. revert changes in embedding op until further benchmark results
","[2017-11-27 07:13:19][eric-haibin-lin][pull:summary][8826]
improve memory usage in sparse.dot"
Hbase,No Relation,"[2017-12-07 14:54:30][anoopsamjohn][code-comment][f8e2323323ef9594d7c898d6d7573966a2fab786]
 TODO We used to set CacheDataInL1 for META table. When we have BucketCache in file mode, now
 the META table data goes to File mode BC only. Test how that affect the system. If too much,
 we have to rethink about adding back the setCacheDataInL1 for META table CFs.
","[2017-12-14 14:10:49][Anoop Sam John][issue:comment][HBASE-19357:16290888]
[~stack] 
Did a perf compare for on heap LRU vs File mode BC for the META only read.  The test just do reads from META table always.  As expected the File is almost half throughput only.  48.5% throughput down.
We do have region locations at connection end cache. So it wont be continuous META read as in this test.  So I feel like we are ok only."
Geode,SATD Repayment,"[2015-07-14 12:25:42][Dan Smith][commit][9fa9ced08f1851f97d2d2407f1519dcc3cac06e0]
GEODE-74: Making the satisfy redundancy phase of rebalance parallel

Tasks submitted to background threads to trigger redundancy
satisfaction. After the satisfy redundancy phase is done we wait for the
tasks to finish.

The number of buckets that can be recovering in parallel is controlled
by the system property gemfire.MAX_PARALLEL_BUCKET_RECOVERIES, currently
set to 8.

If a redundancy recovery/rebalance is restarted due to a membership
change, wait for any in progress operations to complete before fetching
new information from all of the members.
","[2015-07-01 18:54:35][Dan Smith][issue:summary][GEODE-74:12842076]
Recover redundancy in parallel"
Lucene Solr,No Relation,"[2018-12-03 09:07:27][markrmiller][commit][1408f5255fbcde6e843845375349a694f783d247]
SOLR-12801: Disable TimeRoutedAliasUpdateProcessorTest because the feature leaks threads.
","[2018-09-24 16:03:23][Mark Miller][issue:summary][SOLR-12801:13187075]
Fix the tests, remove BadApples and AwaitsFix annotations, improve env for test development."
Lucene Solr,No Relation,"[2014-06-19 16:25:31][Noble Paul][code-comment][42e8c50620a0831e050f75372e17a1d5619d2d6d]
* Create this, passing simplify=true and finite=null, so that we try
   *  to simplify the automaton and determine if it is finite.
","[2014-04-17 21:43:34][Mark Miller][issue:comment][SOLR-5473:13973454]
bq.  I don't see a more appropriate method name for those

I think more appropriate names are something along the lines of Format1 and Format2. There is really no reason to have a single internal/external in the patch as it just adds confusion. And we should also have good javadoc around the format feature and what the differences are between the formats. It should be simple for a new developer to come on and understand what is going on around the format version."
Kafka,No Relation,"[2018-11-15 13:39:18][John Roesler][commit][abc09597db86091c5273348e74be07b63c31a189]
MINOR: Remove redundant SuppressIntegrationTests (#5896)

The removed tests have counterparts covered by SuppressScenarioTest using the TopologyTestDriver.

This will speed up the build and improve stability in the CPU-constrained Jenkins environment.

Reviewers: Bill Bejeck <bill@confluent.io>, Matthias J. Sax <matthias@confluent.io>, Guozhang Wang <wangguoz@gmail.com>
","[2018-11-10 00:15:19][mjsax][pull:comment][5896:437534531]
I personally don't believe that the risk for this particular test is large. It's testing with a single partition and everything is based on event-time.

The only difference I see is, that using `TopologyTestDriver` we flush the `KTable` cache after each records. But this should not impact the test.

Btw: I am wondering, why we don't remove the whole test? The two remaining error scenarios can be tested as unit-test, too, IMHO."
Lucene Solr,No Relation,"[2011-06-10 18:17:44][Steven Rowe][code-comment][c98779dd12cd14c4fd7f6b89c3fde0da14204ad5]

   * TODO: if impls like this are merged we are bound to the amount of memory we
   * can store into a BytesRefHash and therefore how much memory a ByteBlockPool
   * can address. This is currently limited to 2GB. While we could extend that
   * and use 64bit for addressing this still limits us to the existing main
   * memory as all distinct bytes will be loaded up into main memory. We could
   * move the byte[] writing to #finish(int) and store the bytes in sorted
   * order and merge them in a streamed fashion.
","[2011-06-20 12:40:31][Robert Muir][issue:comment][SOLR-2452:13051957]
by the way, obviously since you have been doing all the work here, i don't want you to read this as me questioning/objecting to the change, just trying to maybe help save you some sanity... if you don't mind dealing with the merging I would just say go for it."
Nifi,SATD Duplication,"[2018-07-16 12:41:14][MikeThomsen][pull:summary][2895]
NIFI-5412 Added additional documentation for PutMongo.
","[2018-07-11 15:08:21][Mike Thomsen][issue:summary][NIFI-5412:13171440]
Write additional documentation for PutMongo"
Arrow,No Relation,"[2019-01-02 15:31:02][pitrou][pull:comment][2942:244765908]
I'm curious: do we want to prefix all Gandiva global names at some point? Otherwise they might clash with other names inside the current process? (perhaps it depends on the linkage attributes... but name collisions can lead to obscure problems)
","[2018-11-05 20:53:56][Antoine Pitrou][issue:comment][ARROW-3701:16675746]
LLVM IR is generally not cross-platform, as it will encode platform specificities such as type widths, ABI, etc.
 (see LLVM FAQ at [https://llvm.org/docs/FAQ.html#can-i-compile-c-or-c-code-to-platform-independent-llvm-bitcode])

Perhaps by being extra-careful it's possible to have IR generated for one platform compile and interface correctly on another platform, but it sounds a bit fragile."
Systemds,SATD Repayment,"[2016-05-03 22:55:27][Deron Eriksson][commit][f9d10cfba029a7e2418bc4c0b57b06f2d7495efa]
[SYSTEMML-648] Deprecate castAsScalar

Add castAsScalar deprecation warnings.
Add Expression javadocs.
Remove unused enums from Expression.
Display parse warnings if they occur without parse errors.
Don't chain ParseException in JMLC Connection.

Closes #130.
","[2016-04-27 23:47:47][deroneriksson][pull:summary][130]
Add castAsScalar deprecation warnings.
Add Expression javadocs, rename cast enum values.
Remove unused enums from Expression.
Display parse warnings if they occur without parse errors.
Don't chain ParseException in JMLC Connection."
Hudi,SATD Duplication,"[2019-10-08 18:00:56][leesf][pull:summary][945]
[HUDI-296] Explore use of spotless to auto fix formatting errors
","[2019-10-07 17:52:46][Vinoth Chandar][issue:summary][HUDI-296:13260940]
Explore use of spotless to auto fix formatting errors"
Hbase,No Relation,"[2020-09-19 15:01:05][Bharath Vissapragada][code-comment][9a1d5a02b0040d99273a1e0051816f8928e36ba5]
 clean up.
","[2019-11-22 00:08:06][ndimiduk][pull:comment][830:349379911]
So any znode under `/hbase` shows up or disappears and we re-build the cache? Seems like this would cause a lot of unnecessary ZK chatter. I really wish the meta replica list was under a node of its own."
Pulsar,SATD Repayment,"[2018-12-10 11:09:12][Matteo Merli][code-comment][bddfa2a5a233f17b93cb756b289b40d587321e4c]
*
 * View of a message that exposes the internal direct-memory buffer for more efficient processing.
 *
 * The message needs to be released when the processing is done.
","[2018-12-08 23:00:08][merlimat][pull:summary][3146]
### Motivation

Use ""raw"" message interface when reading messages directly from storage.

The regular `Message` interface exposes only a `byte[]` with the payload and it was meant to be simple. Eg. there is no ref-counting for messages. 

When we are reading from storage directly, we need to take advantage that buffers are coming from direct memory and are already pooled. This will allow to avoid all memory copies and many objects allocation by exposing a lower level message interface, on which the users will need to explicitly call release.

Note: this is a step-gap solution until we have more comprehensive and encapsulated API for direct storage access."
Lucene Solr,No Relation,"[2012-11-23 12:00:32][Alan Woodward][code-comment][930f90fe7aa895acd82aead4fb774dba39430dd6]
 Used to remove duplicate surface forms (but we
 still index the hightest-weight one).  We clear
 this when we see a new analyzed form, so it cannot
 grow unbounded (at most 256 entries):
","[2013-01-20 22:13:28][Alan Woodward][issue:comment][LUCENE-2878:13558405]
So at the moment, IntervalFilterScorer doesn't consume all the intervals on a given document when advancing, it just checks if the document has any matching intervals at all.  Which is great for speed, but bad for scoring - you want to iterate through the intervals on a document to get the within-doc frequency, which can then be passed to the docscorer.  You also need to iterate through everything to deal with payloads.

Is it worth specialising here?  Have two query types (or maybe just a flag on the query), so you can optimize for query speed or for scoring.  SpanScorer always iterates over all spans, by comparison."
Geode,SATD Repayment,"[2020-01-29 13:29:00][mhansonp][commit][11048af21c6e71575af405d23403737a304b8d8d]
GEODE-7600-4: Further cleanup (#4642)

* GEODE-7600-4: Further cleanup
- Cleaning the teardown approach
- Change to wait for event history to be correct.
- Getting rid of a timing issue
- Getting rid of a debug change.
","[2020-01-28 19:40:24][mhansonp][pull:summary][4642]
GEODE-7600-4: Further cleanup"
Cassandra,No Relation,"[2009-06-23 17:48:18][Jonathan Ellis][code-comment][2493c9a5651a72aa4c36ff0f080ee3f6c6978dc8]
 todo can we refactor to take list of sstables?
","[2009-06-09 18:30:53][Jonathan Ellis][issue:summary][CASSANDRA-224:12427482]
All kinds of code needs to know about the inner workings of SSTable to work.  A major cause is passing around SSTable filenames instead of objects.  Thanks to CASSANDRA-208 I feel like I have a good enough understanding of the code here to refactor more than superficially."
Flink,SATD Duplication,"[2019-11-12 11:39:29][wuchong][pull:summary][10160]
[FLINK-14723][table-planner-blink] Improve some code of computed column in planner
","[2019-11-12 11:28:29][Jark Wu][issue:summary][FLINK-14723:13267674]
Improve some code of computed column in planner"
Jena,SATD Duplication,"[2020-09-09 20:02:06][afs][pull:summary][794]
JENA-1960: Clean up Fuseki dispatch
","[2020-09-09 18:34:14][Andy Seaborne][issue:summary][JENA-1960:13326725]
 Clean up Fuseki dispatch"
Hbase,SATD Repayment,"[2013-02-13 18:42:03][Jonathan Hsieh][code-comment][55a44243a93e1138598f17f799ceba3bdb6a6e53]
 If the user has enabled the snapshot, we force the cleaners to be present
 otherwise we still need to check if cleaners are enabled or not and verify
 that there're no snapshot in the .snapshot folder.
","[2012-12-16 12:34:41][Matteo Bertozzi][issue:comment][HBASE-7294:13533372]
Added check at startup to verify if the cleaners are present.

If cleaners are not present, everything is fine unless there're snapshot in the .snapshot folder. Master should not start because otherwise we end up with data loss.

If cleaners are not present in the conf, and there're no snapshot we can still use hbase without the snapshot feature. Any call to snapshot, clone or restore will fail with unsupported exception and the missing cleaner message."
Flink,SATD Duplication,"[2018-05-03 09:26:28][sihuazhou][code-comment][14e7d35f26f51672cb90b63f16f349e6eb846b23]
 TODO: this code assumes that writing a serializer is threadsafe, we should support to
 get a serialized form already at state registration time in the future
","[2018-05-02 11:26:50][StefanRRichter][pull:comment][5934:185465407]
I wonder if this note does not sound a bit to scary, maybe we could just add a todo that this code assumes that writing a serializer is threadsafe and that we could get a serialized form already at state registration time in the future?"
Beam,SATD Repayment,"[2019-09-25 16:13:35][Maximilian Michels][code-comment][948c6fae909685e09d36b23be643182b34c8df25]
 Use a loop here due to the horrible performance of Java Streams:
 https://medium.com/@milan.mimica/slow-like-a-stream-fast-like-a-loop-524f70391182
","[2019-09-24 18:29:03][lukecwik][pull:comment][9374:327769381]
nit: [streams are siginficantly slower than for loops even with JDK 12](https://medium.com/@milan.mimica/slow-like-a-stream-fast-like-a-loop-524f70391182)"
Cxf,No Relation,"[2020-12-07 07:37:53][rmannibucau][pull:comment][721:739732809]
Except ClassGeneratorClassLoader static variables which still look fishy and unexpected - they hide another bug to be concrete like during redeployment of a server with some different config for resource selection - it looks very good for a first mergeable set of changes. I'd just add some doc, maybe some javadoc with a pointer to the doc (if on a wiki/website) to explain how to use it as you did in the test and it is all good for me.
","[2020-10-26 18:50:48][Andriy Redko][issue:comment][CXF-8340:17220930]
Indeed great news, [~dufoli] , would you be open to share to configuration files for native-image creation, it would greatly help us, thank you."
Incubator Pagespeed Ngx,SATD Repayment,"[2014-08-14 11:34:50][Jeff Kaufman][commit][d00911b00f93f75ce1c67690e60b9e925be974a0]
Merge pull request #775 from pagespeed/jefftk-clearer-test-flake-error

testing: make it clearer why test flake in Issue #774 happens
","[2014-08-13 17:53:57][jeffkaufman][pull:summary][775]
testing: make it clearer why test flake in Issue #774 happens"
Beam,No Relation,"[2016-11-15 22:38:05][amitsela][pull:comment][1332:260793013]
This is bad.. Contributors won't run this (I don't want to 😨 ) and so they'll miss checkstyle errors.
","[2016-11-09 10:29:21][Amit Sela][issue:comment][BEAM-891:15650573]
Do we want to ""remove source"" only in case of context reuse ? if so, why not bound it to this condition ?"
Arrow,No Relation,"[2016-06-02 21:07:32][emkornfield][pull:comment][84:223422800]
In the short term yes.   Need to look into see if there are mirrors.   Hopefully people will run these locally, so the code base won't get too messy ...
","[2016-06-01 21:36:28][Wes McKinney][issue:summary][ARROW-209:12974940]
See also PARQUET-626. For now we'll likely have to remove usages of clang-tidy / clang-format from our CI process"
